Student Name,Course,Teacher Name,24-25-S1,24-25-S2,Comments
Khader Coulibaly,Analyse 1,Dr. Analyse,96.97,,
Khader Coulibaly,Algèbre 1,Dr. Algèbre,81.78,,Shows strong understanding
Khader Coulibaly,Calcul des probabilités ,Dr. Calcul,83.23,,
Khader Coulibaly,Statistique descriptive 1,Dr. Statistique,82.11,,
Khader Coulibaly,Statistique descriptive 2,Dr. Statistique,74.14,,
Khader Coulibaly,Histoire de la pensée et des faits économiques,Dr. Histoire,77.24,,
Khader Coulibaly,Economie descriptive,Dr. Economie,86.99,,
Khader Coulibaly,Comptabilité d'entreprise,Dr. Comptabilité,84.56,,Shows strong understanding
Khader Coulibaly,Environnement bureautique et TIC,Dr. Environnement,73.2,,
Khader Coulibaly,Excel,Dr. Excel,74.06,,
Khader Coulibaly,Algorithmique et programmation 1,Dr. Algorithmique,73.76,,
Khader Coulibaly,Anglais 1,Dr. Anglais,93.86,,
Khader Coulibaly,Techniques d’expression 1,Dr. Techniques,90.74,,
Khader Coulibaly,Analyse 2,Dr. Analyse,,72.81,
Khader Coulibaly,Algèbre 2,Dr. Algèbre,,76.62,Participates actively in class
Khader Coulibaly,Théorie des probabilités 1,Dr. Théorie,,89.84,
Khader Coulibaly,Analyse descriptive des séries temporelles,Dr. Analyse,,91.37,Great improvement since last term
Khader Coulibaly,Projet statistique 1,Dr. Projet,,93.95,
Khader Coulibaly,Pratique des enquêtes 1,Dr. Pratique,,92.82,
Khader Coulibaly,Pratique des enquêtes 1,Dr. Pratique,,75.55,
Khader Coulibaly,Microéconomie ,Dr. Microéconomie,,81.74,Great improvement since last term
Khader Coulibaly,Macroéconomie ,Dr. Macroéconomie,,90.26,
Khader Coulibaly,Comptabilité nationale,Dr. Comptabilité,,92.22,Shows strong understanding
Khader Coulibaly,Algorithmique et programmation 2,Dr. Algorithmique,,89.25,
Khader Coulibaly,Excel avancé,Dr. Excel,,79.65,Great improvement since last term
Khader Coulibaly,Techniques d’expression,Dr. Techniques,,93.15,Great improvement since last term
Khader Coulibaly,Anglais,Dr. Anglais,,91.3,
Jaebets Fayama,Analyse 1,Dr. Analyse,86.31,,Needs to improve punctuality
Jaebets Fayama,Algèbre 1,Dr. Algèbre,72.6,,
Jaebets Fayama,Calcul des probabilités ,Dr. Calcul,75.95,,
Jaebets Fayama,Statistique descriptive 1,Dr. Statistique,79.16,,
Jaebets Fayama,Statistique descriptive 2,Dr. Statistique,93.66,,Shows strong understanding
Jaebets Fayama,Histoire de la pensée et des faits économiques,Dr. Histoire,71.86,,
Jaebets Fayama,Economie descriptive,Dr. Economie,74.68,,
Jaebets Fayama,Comptabilité d'entreprise,Dr. Comptabilité,73.8,,
Jaebets Fayama,Environnement bureautique et TIC,Dr. Environnement,74.0,,
Jaebets Fayama,Excel,Dr. Excel,81.38,,
Jaebets Fayama,Algorithmique et programmation 1,Dr. Algorithmique,98.99,,
Jaebets Fayama,Anglais 1,Dr. Anglais,81.77,,
Jaebets Fayama,Techniques d’expression 1,Dr. Techniques,85.44,,
Jaebets Fayama,Analyse 2,Dr. Analyse,,80.31,
Jaebets Fayama,Algèbre 2,Dr. Algèbre,,82.94,
Jaebets Fayama,Théorie des probabilités 1,Dr. Théorie,,91.68,
Jaebets Fayama,Analyse descriptive des séries temporelles,Dr. Analyse,,78.17,Needs to improve punctuality
Jaebets Fayama,Projet statistique 1,Dr. Projet,,92.4,
Jaebets Fayama,Pratique des enquêtes 1,Dr. Pratique,,91.93,
Jaebets Fayama,Pratique des enquêtes 1,Dr. Pratique,,88.59,
Jaebets Fayama,Microéconomie ,Dr. Microéconomie,,91.82,
Jaebets Fayama,Macroéconomie ,Dr. Macroéconomie,,97.16,
Jaebets Fayama,Comptabilité nationale,Dr. Comptabilité,,85.57,
Jaebets Fayama,Algorithmique et programmation 2,Dr. Algorithmique,,88.77,
Jaebets Fayama,Excel avancé,Dr. Excel,,76.73,Shows strong understanding
Jaebets Fayama,Techniques d’expression,Dr. Techniques,,92.47,Great improvement since last term
Jaebets Fayama,Anglais,Dr. Anglais,,96.13,
